date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/4/2021,ARKQ,TESLA INC,TSLA,88160R101,530925,,10.03
3/4/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,56752108,723387,,5.73
3/4/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2487998,,5.32
3/4/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1785250,,4.93
3/4/2021,ARKQ,DEERE & CO,DE,244199105,484290,,4.98
3/4/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5137394,,3.92
3/4/2021,ARKQ,TERADYNE INC,TER,880770102,1171899,,4.06
3/4/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,65326,,4.07
3/4/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,651843,,3.31
3/4/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3727245,,3.4
3/4/2021,ARKQ,CATERPILLAR INC,CAT,149123101,464635,,3.01
3/4/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,278598,,2.86
3/4/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,163011,,2.45
3/4/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,675370,,2.37
3/4/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,218445,,2.44
3/4/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2000940,,2.27
3/4/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1368551,,2.03
3/4/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1905395,,2.02
3/4/2021,ARKQ,AEROVIRONMENT INC,AVAV,8073108,592461,,1.92
3/4/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,732081,,1.89
3/4/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,265825,,1.86
3/4/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7109171,,1.68
3/4/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,81737,,1.76
3/4/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1795523,,1.83
3/4/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1206964,,1.39
3/4/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1519657,,1.4
3/4/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,514413,,1.36
3/4/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,3606095,,1.59
3/4/2021,ARKQ,2U INC,TWOU,90214J101,1119091,,1.21
3/4/2021,ARKQ,PACCAR INC,PCAR,693718108,395512,,1.11
3/4/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,65605,,0.49
3/4/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1375206,,1.02
3/4/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,2676073,,1.05
3/4/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,273907,,1.08
3/4/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,147859,,1.04
3/4/2021,ARKQ,ANSYS INC,ANSS,03662Q105,107634,,1
3/4/2021,ARKQ,PROTO LABS INC,PRLB,743713109,241059,,0.96
3/4/2021,ARKQ,EXONE CO/THE,XONE,302104104,929187,,0.88
3/4/2021,ARKQ,XILINX INC,XLNX,983919101,244925,,0.87
3/4/2021,ARKQ,AUTODESK INC,ADSK,52769106,76730,,0.62
3/4/2021,ARKQ,VUZIX CORP,VUZI,92921W300,1313019,,0.62
3/4/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,170288,,0.49
3/4/2021,ARKQ,AMAZON.COM INC,AMZN,23135106,2887,,0.26
3/4/2021,ARKQ,ONE - CLASS A,AONE,G7000X105,1415977,,0.47
3/4/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,49284102,1464692,,0.48
3/4/2021,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,,,
3/4/2021,ARKQ,APPLE INC,AAPL,37833100,33140,,0.12
3/4/2021,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,5636,,0.01
3/4/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,183649,,0.06
3/4/2021,ARKQ,SPLUNK INC,SPLK,848637104,1232,,0.01
