date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/11/2021,ARKF,"SQUARE INC - A",SQ,852234103,"1,367,281","$326,082,845.69",10.12%
10/11/2021,ARKF,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"828,485","$205,580,267.90",6.38%
10/11/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,"144,590","$199,249,357.70",6.19%
10/11/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,"2,164,867","$197,089,491.68",6.12%
10/11/2021,ARKF,"SEA LTD-ADR",SE,81141R100,"459,284","$148,477,331.52",4.61%
10/11/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,"555,197","$144,384,531.82",4.48%
10/11/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,"5,313,380","$115,087,810.80",3.57%
10/11/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,"39,813","$110,429,142.90",3.43%
10/11/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,"342,135","$109,688,481.00",3.41%
10/11/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,"64,384","$97,296,456.96",3.02%
10/11/2021,ARKF,"UIPATH INC - CLASS A",PATH,90364P105,"1,854,917","$95,305,635.46",2.96%
10/11/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,"687,675","$90,463,646.25",2.81%
10/11/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,"1,106,266","$86,963,570.26",2.70%
10/11/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,"1,555,066","$80,303,608.24",2.49%
10/11/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,"478,981","$77,901,469.84",2.42%
10/11/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,"285,688","$75,144,514.64",2.33%
10/11/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,"721,524","$71,719,485.60",2.23%
10/11/2021,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,"203,513","$67,169,465.65",2.09%
10/11/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,"2,150,886","$65,709,567.30",2.04%
10/11/2021,ARKF,"DRAFTKINGS INC - CL A",DKNG,26142R104,"1,370,360","$65,653,947.60",2.04%
10/11/2021,ARKF,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"1,519,087","$63,467,454.86",1.97%
10/11/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,"483,844","$61,980,416.40",1.92%
10/11/2021,ARKF,"PINDUODUO INC-ADR",PDD,722304102,"637,205","$61,311,865.10",1.90%
10/11/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,"237,667","$60,818,985.30",1.89%
10/11/2021,ARKF,"DISCOVERY LTD",DSY,6177878,"6,484,720","$58,795,374.03",1.83%
10/11/2021,ARKF,"STONECO LTD-A",STNE,G85158106,"1,763,278","$58,435,032.92",1.81%
10/11/2021,ARKF,"INTUIT INC",INTU,461202103,"100,957","$53,620,281.84",1.66%
10/11/2021,ARKF,"BILL.COM HOLDINGS INC",BILL,090043100,"191,334","$52,488,656.22",1.63%
10/11/2021,ARKF,"Z HOLDINGS CORP",4689,6084848,"8,327,985","$51,349,042.66",1.59%
10/11/2021,ARKF,"ETSY INC",ETSY,29786A106,"227,286","$48,189,177.72",1.50%
10/11/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,"708,873","$44,793,684.87",1.39%
10/11/2021,ARKF,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"1,720,368","$40,428,648.00",1.26%
10/11/2021,ARKF,"FARFETCH LTD-CLASS A",FTCH,30744W107,"1,069,057","$40,078,946.93",1.24%
10/11/2021,ARKF,"SNAP INC - A",SNAP,83304A106,"477,717","$35,828,775.00",1.11%
10/11/2021,ARKF,"AMAZON.COM INC",AMZN,023135106,"8,378","$27,552,058.36",0.86%
