date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/03/2021,ARKQ,"TESLA INC",TSLA,88160R101,"292,640","$342,974,080.00",12.57%
11/03/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,"2,088,925","$184,723,637.75",6.77%
11/03/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,"8,080,929","$183,356,279.01",6.72%
11/03/2021,ARKQ,"UIPATH INC - CLASS A",PATH,90364P105,"3,474,100","$183,119,811.00",6.71%
11/03/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,"1,058,164","$152,248,636.32",5.58%
11/03/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"2,858,637","$118,347,571.80",4.34%
11/03/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,"3,572,639","$111,930,779.87",4.10%
11/03/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,"3,790,147","$101,234,826.37",3.71%
11/03/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,"1,230,058","$99,265,680.60",3.64%
11/03/2021,ARKQ,"DEERE & CO",DE,244199105,"227,192","$80,721,317.60",2.96%
11/03/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,"235,186","$76,743,543.66",2.81%
11/03/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,"2,831,047","$74,456,536.10",2.73%
11/03/2021,ARKQ,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"1,792,143","$70,234,084.17",2.57%
11/03/2021,ARKQ,"MARKFORGED HOLDING CORP",MKFG,57064N102,"9,456,228","$67,990,279.32",2.49%
11/03/2021,ARKQ,"TERADYNE INC",TER,880770102,"468,714","$65,315,295.90",2.39%
11/03/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,"693,654","$64,301,725.80",2.36%
11/03/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,"21,029","$61,347,060.54",2.25%
11/03/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"9,773,356","$61,278,942.12",2.25%
11/03/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,"688,319","$56,676,186.46",2.08%
11/03/2021,ARKQ,"BLADE AIR MOBILITY INC",BLDE,092667104,"5,217,878","$52,387,495.12",1.92%
11/03/2021,ARKQ,"ARCHER AVIATION INC-A",ACHR,03945R102,"7,774,130","$50,531,845.00",1.85%
11/03/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,"212,409","$43,994,152.08",1.61%
11/03/2021,ARKQ,"VELO3D INC",VLD,92259N104,"3,911,112","$42,983,120.88",1.58%
11/03/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,"229,028","$37,164,373.56",1.36%
11/03/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,"1,366,603","$35,231,025.34",1.29%
11/03/2021,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,"229,572","$35,122,220.28",1.29%
