date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/03/2021,ARKQ,"STRATASYS LTD",SSYS,M85548101,"1,014,330","$33,878,622.00",1.24%
11/03/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,"70,898","$31,830,366.08",1.17%
11/03/2021,ARKQ,"VUZIX CORP",VUZI,92921W300,"2,327,359","$29,417,817.76",1.08%
11/03/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,"86,578","$28,846,923.82",1.06%
11/03/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,"71,576","$27,497,351.92",1.01%
11/03/2021,ARKQ,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"1,038,318","$26,913,202.56",0.99%
11/03/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,"73,062","$26,329,352.94",0.96%
11/03/2021,ARKQ,"2U INC",TWOU,90214J101,"847,407","$23,973,144.03",0.88%
11/03/2021,ARKQ,"PROTO LABS INC",PRLB,743713109,"375,861","$22,664,418.30",0.83%
11/03/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,"211,623","$16,172,229.66",0.59%
11/03/2021,ARKQ,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"6,454,736","$6,454,735.90",0.24%
11/03/2021,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,"131,632","$824,016.32",0.03%
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product."
