date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/01/2021,ARKQ,"TESLA INC",TSLA,88160R101,"293,109","$326,523,426.00",12.27%
11/01/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,"2,092,278","$182,802,328.86",6.87%
11/01/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,"1,150,820","$174,130,574.20",6.54%
11/01/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,"7,849,354","$167,897,682.06",6.31%
11/01/2021,ARKQ,"UIPATH INC - CLASS A",PATH,90364P105,"3,217,804","$161,694,651.00",6.07%
11/01/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"2,863,226","$116,103,814.30",4.36%
11/01/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,"3,578,374","$100,767,011.84",3.79%
11/01/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,"3,796,231","$99,689,026.06",3.75%
11/01/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,"1,232,032","$96,443,464.96",3.62%
11/01/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,"253,676","$84,301,608.32",3.17%
11/01/2021,ARKQ,"DEERE & CO",DE,244199105,"227,557","$77,895,036.67",2.93%
11/01/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,"2,780,044","$72,781,551.92",2.73%
11/01/2021,ARKQ,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"1,795,020","$70,221,182.40",2.64%
11/01/2021,ARKQ,"TERADYNE INC",TER,880770102,"469,466","$64,898,979.84",2.44%
11/01/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,"21,063","$62,460,430.83",2.35%
11/01/2021,ARKQ,"MARKFORGED HOLDING CORP",MKFG,57064N102,"9,461,888","$62,353,841.92",2.34%
11/01/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,"694,767","$61,910,687.37",2.33%
11/01/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"9,789,044","$57,559,578.72",2.16%
11/01/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,"689,424","$56,050,171.20",2.11%
11/01/2021,ARKQ,"BLADE AIR MOBILITY INC",BLDE,092667104,"5,207,083","$49,311,076.01",1.85%
11/01/2021,ARKQ,"ARCHER AVIATION INC-A",ACHR,03945R102,"7,786,609","$44,383,671.30",1.67%
11/01/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,"212,750","$43,403,127.50",1.63%
11/01/2021,ARKQ,"VELO3D INC",VLD,92259N104,"3,877,204","$39,896,429.16",1.50%
11/01/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,"229,396","$37,217,207.04",1.40%
11/01/2021,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,"229,940","$36,516,771.40",1.37%
11/01/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,"1,368,797","$33,029,071.61",1.24%
11/01/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,"71,012","$31,900,010.64",1.20%
11/01/2021,ARKQ,"STRATASYS LTD",SSYS,M85548101,"1,015,958","$32,043,315.32",1.20%
11/01/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,"86,717","$28,892,370.06",1.09%
11/01/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,"71,691","$27,212,469.78",1.02%
11/01/2021,ARKQ,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"1,039,985","$26,914,811.80",1.01%
11/01/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,"73,179","$26,427,132.27",0.99%
11/01/2021,ARKQ,"VUZIX CORP",VUZI,92921W300,"2,331,095","$24,919,405.55",0.94%
11/01/2021,ARKQ,"2U INC",TWOU,90214J101,"839,953","$24,812,211.62",0.93%
11/01/2021,ARKQ,"PROTO LABS INC",PRLB,743713109,"376,464","$22,516,311.84",0.85%
11/01/2021,ARKQ,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"19,815,414","$19,815,414.22",0.74%
11/01/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,"211,963","$15,354,599.72",0.58%
11/01/2021,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,"131,844","$818,751.24",0.03%
